,code,type,name,group,market
204,711651,上櫃認購(售)權證,新普富邦01購01,,上櫃
205,711652,上櫃認購(售)權證,穩懋富邦01購02,,上櫃
206,711654,上櫃認購(售)權證,元太中信06購01,,上櫃
207,711662,上櫃認購(售)權證,信昌電國票01購01,,上櫃
208,711663,上櫃認購(售)權證,網家國票01購01,,上櫃
209,711664,上櫃認購(售)權證,聯亞國票01購01,,上櫃
210,711665,上櫃認購(售)權證,穩懋國票01購02,,上櫃
211,711666,上櫃認購(售)權證,鈊象國票01購01,,上櫃
212,711667,上櫃認購(售)權證,鈊象兆豐01購01,,上櫃
213,711669,上櫃認購(售)權證,碩禾元富03購01,,上櫃
214,711671,上櫃認購(售)權證,大江統一01購01,,上櫃
215,711672,上櫃認購(售)權證,邦特統一01購01,,上櫃
216,711673,上櫃認購(售)權證,信驊統一02購01,,上櫃
217,711674,上櫃認購(售)權證,原相統一01購03,,上櫃
218,711675,上櫃認購(售)權證,智擎統一01購01,,上櫃
219,711676,上櫃認購(售)權證,緯軟統一01購01,,上櫃
220,711677,上櫃認購(售)權證,璟德統一02購01,,上櫃
221,711678,上櫃認購(售)權證,穩懋統一01購03,,上櫃
222,711680,上櫃認購(售)權證,鈊象麥證01購01,,上櫃
223,711681,上櫃認購(售)權證,大江國泰02購01,,上櫃
224,711682,上櫃認購(售)權證,合晶國泰02購01,,上櫃
225,711684,上櫃認購(售)權證,群聯群益01購01,,上櫃
226,711685,上櫃認購(售)權證,精測群益01購02,,上櫃
227,711687,上櫃認購(售)權證,鈊象富邦01購01,,上櫃
228,711688,上櫃認購(售)權證,原相凱基02購01,,上櫃
229,711689,上櫃認購(售)權證,神盾凱基02購01,,上櫃
230,711690,上櫃認購(售)權證,精測凱基02購01,,上櫃
231,711692,上櫃認購(售)權證,環球晶凱基02購01,,上櫃
232,711693,上櫃認購(售)權證,穩懋凱基02購01,,上櫃
233,711694,上櫃認購(售)權證,譜瑞凱基01購01,,上櫃
234,711695,上櫃認購(售)權證,鈊象凱基02購01,,上櫃
235,711696,上櫃認購(售)權證,中美晶國票01購01,,上櫃
236,711697,上櫃認購(售)權證,晶焱國票01購01,,上櫃
237,711699,上櫃認購(售)權證,大江統一01購02,,上櫃
238,711700,上櫃認購(售)權證,中美晶統一02購01,,上櫃
239,711701,上櫃認購(售)權證,元太統一03購01,,上櫃
240,711702,上櫃認購(售)權證,合晶統一02購01,,上櫃
241,711703,上櫃認購(售)權證,旺矽統一02購01,,上櫃
242,711704,上櫃認購(售)權證,新普統一01購01,,上櫃
243,711715,上櫃認購(售)權證,M31元大01購01,,上櫃
244,711717,上櫃認購(售)權證,旺矽元大01購01,,上櫃
245,711721,上櫃認購(售)權證,博智元大01購01,,上櫃
246,711727,上櫃認購(售)權證,威剛兆豐01購01,,上櫃
247,711728,上櫃認購(售)權證,雙鴻兆豐01購01,,上櫃
248,711729,上櫃認購(售)權證,晟德兆豐01購01,,上櫃
249,711730,上櫃認購(售)權證,鈺太兆豐01購01,,上櫃
250,711732,上櫃認購(售)權證,博智國泰02購01,,上櫃
251,711733,上櫃認購(售)權證,璟德國泰02購01,,上櫃
252,711734,上櫃認購(售)權證,雙鴻國泰02購01,,上櫃
253,711735,上櫃認購(售)權證,晟德國泰02購02,,上櫃
254,711736,上櫃認購(售)權證,環球晶中信03購01,,上櫃
255,711745,上櫃認購(售)權證,新普元大01購01,,上櫃
256,711747,上櫃認購(售)權證,大江群益01購01,,上櫃
257,711748,上櫃認購(售)權證,欣銓群益01購01,,上櫃
258,711750,上櫃認購(售)權證,精測群益01購03,,上櫃
259,711754,上櫃認購(售)權證,環球晶群益01購01,,上櫃
260,711755,上櫃認購(售)權證,M31國票01購01,,上櫃
261,711756,上櫃認購(售)權證,金可國票01購01,,上櫃
262,711757,上櫃認購(售)權證,精華國票01購01,,上櫃
263,711758,上櫃認購(售)權證,璟德國票01購01,,上櫃
264,711759,上櫃認購(售)權證,雙鴻國票02購01,,上櫃
265,711762,上櫃認購(售)權證,邦特元富03購01,,上櫃
266,711763,上櫃認購(售)權證,優群富邦01購01,,上櫃
267,711764,上櫃認購(售)權證,大江凱基02購01,,上櫃
268,711765,上櫃認購(售)權證,中美晶凱基02購01,,上櫃
269,711766,上櫃認購(售)權證,精測凱基02購02,,上櫃
270,711767,上櫃認購(售)權證,晟德凱基02購01,,上櫃
271,711768,上櫃認購(售)權證,中美晶統一01購01,,上櫃
272,711769,上櫃認購(售)權證,合晶統一01購01,,上櫃
273,711770,上櫃認購(售)權證,威剛統一01購01,,上櫃
274,711771,上櫃認購(售)權證,皇田統一01購01,,上櫃
275,711772,上櫃認購(售)權證,緯軟統一01購02,,上櫃
276,711776,上櫃認購(售)權證,M31元大01購02,,上櫃
277,711778,上櫃認購(售)權證,信驊元大01購01,,上櫃
278,711782,上櫃認購(售)權證,聯亞元大01購01,,上櫃
279,711783,上櫃認購(售)權證,譜瑞元大01購01,,上櫃
280,711786,上櫃認購(售)權證,信驊富邦01購01,,上櫃
281,711787,上櫃認購(售)權證,久元群益01購01,,上櫃
282,711788,上櫃認購(售)權證,元太群益01購01,,上櫃
