code,type,name,group,market
700430,上櫃認購(售)權證,環球晶國泰84購02,,上櫃
700431,上櫃認購(售)權證,環球晶國泰86購01,,上櫃
700432,上櫃認購(售)權證,中美晶台新85購01,,上櫃
700433,上櫃認購(售)權證,環球晶台新84購02,,上櫃
700434,上櫃認購(售)權證,譜瑞台新84購01,,上櫃
700435,上櫃認購(售)權證,合晶群益84購02,,上櫃
700436,上櫃認購(售)權證,牧德群益84購01,,上櫃
700437,上櫃認購(售)權證,泰博群益84購01,,上櫃
700438,上櫃認購(售)權證,順達群益84購01,,上櫃
700439,上櫃認購(售)權證,璟德群益84購01,,上櫃
700440,上櫃認購(售)權證,環球晶群益84購05,,上櫃
700441,上櫃認購(售)權證,晟德群益84購02,,上櫃
700442,上櫃認購(售)權證,鈊象群益84購01,,上櫃
700443,上櫃認購(售)權證,大江元大84購09,,上櫃
700444,上櫃認購(售)權證,大江元大84購10,,上櫃
700445,上櫃認購(售)權證,大江元大85購02,,上櫃
700446,上櫃認購(售)權證,大國鋼元大84購02,,上櫃
700447,上櫃認購(售)權證,世界元大84購02,,上櫃
700448,上櫃認購(售)權證,同致元大84購01,,上櫃
