person_id:ID,name,:LABEL
f40a519bf4577984db8171bb326f8af0,嚴振誠,Person
e129e0bf1326cf53cca326a4f62c2206,業強科技(股)-王台光,Person
f0c4bd339dcc5cda006faeb312c50eda,鄭兆鳴,Person
8ee7253fa8c3b29f9337b201cd9e0c0a,陳昌宏,Person
462e960be5975f39842df53a16e201fa,謝立群,Person
57d0335477d3ea247027d6062db5cf88,南亞塑膠工業(股)-鄒明仁,Person
67414dc8df3a915234bcb0f18b8ade65,呂雅惠,Person
9650803f521b9a59d1510f1b729d6e2c,陳若卿,Person
1f17170792fa47cf0dc8bed6a6c998bb,周衍洲,Person
40f0e854e2897a92916988a5bb372d23,陳靜宜,Person
ac83af744b951e3103b8a043939f262b,廖本崇,Person
6838f8b13c0e952b53eb1f5c6a224782,夏國雄,Person
54f74825bf34bf2717ff6cede54e4e08,李同德,Person
f9e7a54074b66249cdb201abf4804c20,羅元榮,Person
9f388177691c9e05910e3b4b4c545801,葉文隆,Person
75cbf177f4e4039c2a67db7ccf204f97,任耀庭,Person
1f76abd3540eac24e6b7e60125b7485b,林麥升,Person
3cf3e3f883ff38a2a3bba91d41aa67d4,王允中,Person
f3e2275e559e1a083f643923d5924b10,蔡政廷,Person
96bec9de35e14a346d03483a99eb4cb7,吳柏成,Person
d6ea643475063722f31b09a98a61273c,李浩正,Person
9e08dba918af7fcf3e2903a2d530f2d5,陳銘樹,Person
227385a449fa8979d17ec5c0ddcebdad,富研投資(股)-陳建源,Person
631dc070bd1e9d726943dd6aad826886,張桂瑜,Person
f33767cc304b3bd611088badc22c80ab,張顯松,Person
e585e9ab03c22d0937b05ec60ab76327,耀華玻璃股份有限-周崇斌,Person
a6590a7e0f666edd527897bbcf0f4ce5,張文玲,Person
e6e7175c1c27b1c2cb56a38334a4beed,錢雨明,Person
f5ca7513363781b9dff618fb956974ee,盧國財,Person
75bfe4be3865b8793914da8ee71bb1f5,周大鑫,Person
056d6951dcf13f5dee4eccdc18efaf9b,陳佳成,Person
af1943285916076e36075fc26aafde8d,謝宗楠,Person
62eea94e83a74ca9a4f2a1cb28dd4e5f,杜明翰,Person
980440bf932cbd5bba5aafd0d39dc3f0,陳寧茵,Person
6e1ff8cd170ddf6c7aabc065ebdd5b3a,張謙助,Person
ee3a71f2f7cc19b73b84af967ee55059,黃世斌,Person
3e05eced1e00a14b5728a1b19aa25598,蔡文程,Person
34c66115d38ec594275aedb86ef89270,高宏成,Person
7e40336c634e159d22af5d64ad4bf50e,胡盛清,Person
f6812152c2ab9ccfa439d076195fe218,梁振祐,Person
1cf9cf4d9df7468f329a24cb7eb669d5,蘇亦凡,Person
a8ea6535970e48e0d09ae6dcec882d49,林玉芬,Person
9fc17f269cf6272035063efafbbf7d9d,陳壬發,Person
0cfdd802d228c6ad2c0fce01f31350fd,徐學樑,Person
3fe058075639771ee4f1789c828d5744,浦聚投資(股)-戴偉衡,Person
12b38d8c5aaf5bff092976b1e1ffd353,許慶和,Person
f29244c1611210c480ec9d6f4fdd703e,華榮電線電纜(股)-王明仁,Person
dfdcad3bdc894062f6fee00d5271495c,陳人傑,Person
44b574969e230967bb9d6dd0c2f1924a,珩鹿資本(股)-林國泰,Person
f7d015e1943b25585ba433a4b1ef45c6,鄭宏輝,Person
95276c6fba61db58fc094ddca4a1e867,姜廷基,Person
985370636f4e9a0cd17d180f7d138765,聯容國際(有)-蔡焜煌,Person
b4da82855b1dda767f08596e707fa729,汪志益,Person
fe4a7abcadb06ad8572f61057f609a4a,蘇嘉羚,Person
