:START_ID,jobs,stock_num:int,:END_ID,:TYPE
679c46ea336c49c46ec919ab681c6f6a,獨立董事,0,1584,employ_of
19b4fe16cd3105c399a32ee64f36de7e,獨立董事,0,1584,employ_of
84b42ac83629a366bbc804b9e438be47,獨立董事,0,1584,employ_of
f8dce77ada721a133e2e578f21cd327e,董事兼其他,30000,1584,employ_of
14709787eea51b8e0517c7f333ab3dc5,董事長,20129,1584,employ_of
a2b529dee98e8c0e6d54e013dcaf7ce0,董事,20129,1584,employ_of
bef0774aa943aad9197dfcce51a57f23,董事,20129,1584,employ_of
c5cf3ef31d62683ce29cc717324d2891,董事,30000,1584,employ_of
60a05bf8e6b46c0aaa6d941147f52cd0,副總經理,257,1584,employ_of
66598b50409886479ce16dccd9d40d60,協理/財會主管,0,1584,employ_of
96bec9de35e14a346d03483a99eb4cb7,其他,70,1584,employ_of
e25386520f7b5a08b6569abaf2566d16,總經理,113,1586,employ_of
20872a1088a7fa18a78f3f5c7d5a71ba,獨立董事,0,1586,employ_of
684cafd67afa5e6ce717aec2ae181ebc,獨立董事,0,1586,employ_of
e8b228a6a82a60dc01de1d44a53e1c87,獨立董事,0,1586,employ_of
d68c429ae8b387febc437bdf0ae49d0b,董事長兼總經理,1998,1586,employ_of
d9426c6d912f2784aa45bbcee06e564a,董事,5537,1586,employ_of
0238ea60633cb919a1c41e4f40198f3f,董事,2178,1586,employ_of
e8aa468e958729b356c903ecee6275f1,董事,5765,1586,employ_of
1e899e83fa7924c74c5e1e70f22c9a7f,董事,1413,1586,employ_of
d9af40e6a023ad5a89daea1931ff7a61,會計主管,0,1586,employ_of
8fcd94c7590b625a1da24997a27052d0,副總經理,160,1586,employ_of
2c0cbb24621637a293d5c5bdf69e76dd,財務主管,31,1586,employ_of
49e1f64391da83106b04db701f741467,法人代表,383,1586,employ_of
09800fa6b29d2b4d26846cd43ad6d69a,協理,44,1586,employ_of
95a24e42b545d008074980ce7d22e17c,獨立董事,0,1591,employ_of
d0f7c232ca5f8d643e738e69ff4cc413,獨立董事,0,1591,employ_of
a0977f58eb1230f553dfdb187aa8cb5a,獨立董事,0,1591,employ_of
a6997e50bb65198cf0da899db94aeb95,董事長兼總經理,4890,1591,employ_of
ae7846c4d447fdb3c647beb89584e8cf,董事,153,1591,employ_of
cab5a400fbcae2bb558c2e05aeaf70c5,董事,5,1591,employ_of
4c8581b8919ac15ed257420f14bf44e6,董事,1542,1591,employ_of
1dcafdc61f1d4adfe6ec9e6a9b7a82cd,董事,14,1591,employ_of
0e8f81ea31d411bfb9d2bb7b7d6d7773,經理,0,1591,employ_of
5fa71dfb7aedf3da1a633c8c7b113fa3,副總經理,0,1591,employ_of
4076611c35e892776badfee62ddd31ae,財會主管,106,1591,employ_of
9df8598ad0ed2a6dac22695124e16f5a,大股東,3675,1591,employ_of
0f732eb1d9378183113fc69937e984fe,總經理,0,1593,employ_of
baa5d806734f42cc5ed9eb4a4dbd1c34,獨立董事,0,1593,employ_of
2658a578a53d4de8ae0c2e6a52e21203,獨立董事,0,1593,employ_of
3fbe4b76479cfd635b6d42ac835edcf2,獨立董事,0,1593,employ_of
ea48b255d28a2b785e1b17e39dcb45ee,董事兼副總經理,890,1593,employ_of
483ad569400dd43eb6fda449240df112,董事兼副總經理,1841,1593,employ_of
e0de8707131ae51f4cb148da77feafdf,董事長兼副總經理,1391,1593,employ_of
90507c47f01542e1f99f6f75449c1515,經理,14,1593,employ_of
b46da055a23aa75bd77d50c389ec129e,副總經理/財會主管,12,1593,employ_of
e4d8a5b31609e76afe646b37c8daa906,協理,70,1593,employ_of
0770320c3356f6e2665cfc57397fe40c,獨立董事,0,1595,employ_of
d9f4ad0d6f01a9b93b5521476b91f781,獨立董事,0,1595,employ_of
d6cb6109c6f11ac47216e107790d5ef6,獨立董事,0,1595,employ_of
aeb258bd263e00f8b68c5bfa16a85bf0,董事長兼總經理,2367,1595,employ_of
9e510d4aaf0e60e9a3b1370d40acd775,董事,73,1595,employ_of
742a4aad6bbb39de368725fe1ceb672a,董事,63,1595,employ_of
7ad265013da43cb41aae8090ea5b8816,董事,2312,1595,employ_of
dfaca806793d3ae69e425473a3933c9e,董事,168,1595,employ_of
b48c61f3159a66c9e4e71500394d417e,董事,1301,1595,employ_of
7c0a7a3a4952648f4cfb842cce3d2413,董事,951,1595,employ_of
004747d609272ae11e158784cdc3098b,副總經理,0,1595,employ_of
f41945248f18293fd1f95677a495e4fa,財會主管,17,1595,employ_of
fb389976c02b9a6380bf75eeb991fb43,協理,526,1595,employ_of
46451a0b9318b915a4b950df34053f2d,獨立董事,0,1597,employ_of
a74984d5ce36c31e21470c6650d3d2bd,獨立董事,32,1597,employ_of
10a9e85c05484c92727617685ca97a93,獨立董事,0,1597,employ_of
f77be6d05b86f8633b7c349d1f348e89,董事兼總經理,6137,1597,employ_of
940c37968a593257c2c44f193b89cc78,董事長兼其他,4020,1597,employ_of
f4df51d741418026d438d346437ce7d1,董事,1508,1597,employ_of
0f4bace9da009c28992aaa5add7d7dd2,董事,611,1597,employ_of
7b7eaaa6619f6d45a275d7ad589f094e,董事,610,1597,employ_of
4be4cbe72cd5a854a850ce6d24f99c16,副總經理,54,1597,employ_of
424597d1e846d47aff37b68589a21480,財會主管,52,1597,employ_of
51efb8e4a56a0ef15e559a889465d5ea,協理,601,1597,employ_of
fc3c311baf61e4b0f0247b82ad466ea5,獨立董事,0,1599,employ_of
80fe90539a601f1c9ba5b8feab6bd82b,獨立董事,0,1599,employ_of
58c0c72686b025d342128ffd65139f6e,獨立董事,0,1599,employ_of
e0d1eb35450d804e98ae4aedba513a86,獨立董事,0,1599,employ_of
85eb8fd4321879b45ddab68a6e9c1f12,董事兼副總經理,69,1599,employ_of
6637b8dec2ae2c73d8ac6895c62bd0c1,董事兼副總經理,884,1599,employ_of
c454ee96bc26ed47b714e229e473b2d8,董事長兼總經理,5452,1599,employ_of
30593133d2e7537f5a6f835642e5901a,副總經理,0,1599,employ_of
77003fa235982961b27400329e61bb59,副總經理,0,1599,employ_of
a261ca4f72084d60bd69ecefdf2c6dc2,財會主管,0,1599,employ_of
90ce0c0261ca5df7bf0eb7326eabb311,總經理,230,1742,employ_of
adc6766c46f8a276006d8d3a120a07bb,獨立董事,0,1742,employ_of
6c34a3d55bc06b8a298e8df024bcf3dd,獨立董事,0,1742,employ_of
42bc85247816f17b26aa936985a36c99,獨立董事,0,1742,employ_of
28da099116e3e31f0858712904ad4ceb,董事兼副總經理,8283,1742,employ_of
c08bff92ba764d1762636f885c4d948f,董事長,8283,1742,employ_of
57a84b473aa4eb98bd49b71ed7a43c2b,董事,14064,1742,employ_of
7aac66054c9c1ab947eb8141d09d4858,董事,14064,1742,employ_of
e2048e9e8b98176903895a6a0dd4f89d,董事,14064,1742,employ_of
23a4d3755f9c7a37d8c5a29c884c30dc,副總經理,1149,1742,employ_of
a3defb531711172cb2b8e58ea33f43ae,副董事長,14064,1742,employ_of
5648deb61b0131e4d6012e1287c02ba1,財會主管,0,1742,employ_of
2d4848900e57fbbe98bb859f9a3b0482,法人代表,243,1742,employ_of
f4bcf4b6e001362bfa45ace216a17cd6,法人代表,983,1742,employ_of
b55d3c140d280ed7d4e3d6ee5009da84,獨立董事,0,1752,employ_of
267688ab75634ad2a1576f7a08d2b723,獨立董事,0,1752,employ_of
52c0b7b64d74425c122ebb2bb106f78a,獨立董事,0,1752,employ_of
a4ce668104ed1555232754020e77ec7b,董事兼總經理,3526,1752,employ_of
0ebe97143cb198bdc99056b78c06262b,董事兼副總經理,5470,1752,employ_of
a4f54b58059e72a494ac4bf9ed385158,董事長,2279,1752,employ_of
d74cb65309442252f10df1ede7846267,董事,45,1752,employ_of
3e4c3e5085a3fb6180dfdb107b80626f,副總經理,4247,1752,employ_of
00f8f5bd38e5c87ba696aa905f1f8184,協理/財會主管,18,1752,employ_of
1cb3769114c911aa98737f8bbe540214,協理,2,1752,employ_of
57e3ee7e7ae7d4e32404afc257fa9f3b,協理,84,1752,employ_of
fbe985ca662db43f03f8f80062fcac97,協理,4514,1752,employ_of
74950e21fa8906f9cda3ad143370c0e4,協理,10,1752,employ_of
e17addcfc087ed962defd85e783d43d0,協理,0,1752,employ_of
bd535dda8537a0174507cec9aee6b738,大股東,20014,1752,employ_of
277ada762eace07fcea989150d9dc6b5,總經理,480,1777,employ_of
b4345453f34e5ff369266c4590dd4a98,獨立董事,0,1777,employ_of
53f93268ce627212acef3178b01591ac,獨立董事,0,1777,employ_of
