:START_ID,:END_ID,:TYPE
700033,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
700034,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
700035,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
700036,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
700037,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
700038,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
700039,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
70003X,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
700040,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
700041,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
700042,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
700043,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
700044,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
700045,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
700046,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
700047,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
700048,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
700049,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
70004X,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
700050,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
700051,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
700052,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
700053,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
700054,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
700055,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
700056,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
700057,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
700058,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
700059,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
70005X,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
700060,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
700061,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
700062,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
700063,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
700064,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
700065,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
700066,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
700067,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
700068,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
700069,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
70006X,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
700070,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
700071,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
700072,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
700073,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
700074,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
700075,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
700076,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
700077,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
700078,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
700079,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
700080,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
700081,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
700082,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
700083,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
700084,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
700085,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
700086,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
700087,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
700088,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
700089,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
700090,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
700091,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
700092,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
700093,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
700094,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
700095,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
700096,d8a601da92aacb84d7b962d6a2f4a1c6,type_of
