dealer_id:ID,name,:LABEL
1f48bead43e86dd8f40079cd3f7e1884,玉山-新莊,Dealer
0ea41dffed281bf364cff7b501fffe15,凱基-雙和,Dealer
68e29022024ff706fffc3e12363f374d,康和-新竹,Dealer
4e973fad58b311d32f625f2ff6c42c83,元大-松江,Dealer
123bd41c5be8ca8bc75ef7e2c6627c59,日盛-中和,Dealer
c70854d3bf86a84efd88d64f6c322cdc,台中銀-員林,Dealer
6715729a0234fb68bd75231beff92f62,聯邦-雙和,Dealer
a39da88aa800ee265e068a01dfccd829,日盛-北高雄,Dealer
08ec922ef0511362f5385cb04d9d2ae4,聯邦-富強,Dealer
ab79ccebed1618618a4084af98f26d4c,大慶-中壢,Dealer
e43b922c682c72cd9810727dde301f27,聯邦-嘉義,Dealer
cf5d32d9a8ce4aabb15166e69805abec,群益金鼎-高盛,Dealer
e3cb043f0beb4f116fa0643cb5d43c37,永豐金-中正,Dealer
e9a5e991a444d940e75de2028f04a888,台灣企銀-太平,Dealer
bb0ddcfbf7513de1672495e0e49889fa,土銀,Dealer
896c685b29e79e3c0354decbfb7cdcde,大昌-樹林,Dealer
2590694e5b86e3f9a83a822f875d6113,宏遠-民生,Dealer
fc372782c44159072e52c09b56a31e6e,元大-虎尾,Dealer
b31d3453ca5cbcd14ccb0fef5c5389fb,元大-天母,Dealer
cd8e5eb765e36b904ed97e8c5bd2b8dd,宏遠-中和,Dealer
0f3f7e5a59887dde95933e9a6efbf8d1,國泰-忠孝,Dealer
a20e87b4a8b88719b1ae34d3a3b99961,凱基-市政,Dealer
a25b6adc7cb0558a68a552a130b97354,凱基-宜蘭,Dealer
5586c2ebd3a3fab8343d0c3b1f4815b1,臺灣企銀-桃園,Dealer
28e170c498f2ffe6038fe1b1ac417337,大慶-泰山,Dealer
886a45d9038f46167f1348e359e7a288,光和-溪湖,Dealer
8314fd975fffeb6948d4b0769ef2899d,元大-永春,Dealer
258c68ddb0d104ac70a016e6850f45d8,福邦證券,Dealer
52003282e99fc8664bea50673ac7d8d7,國泰-台中,Dealer
f65edf237f1a5a680e904571c57ba123,群益金鼎-中港,Dealer
1852c0f835f6ea51e96ba496623529ea,日盛-頭份,Dealer
4ae84832c7aba26009c4ac78aceaa8af,新光-台南,Dealer
adc3205698bfdeb6ff511ae8ae71e47a,土銀-彰化,Dealer
b84fcf6d50ccc713a220eb5f69213af8,國票-彰化,Dealer
39bb533aec9028ea4d0a1a8356ec3ecc,富邦-敦南,Dealer
ec927648c70f8832e51bade50d2e330b,元大-金門,Dealer
581bf423aa907f8b834c83359c6732b8,大慶,Dealer
e80c58ad806f2799549fb71f42511a7d,凱基-大安,Dealer
af93d1b1ebcbe4b7c5f38e90fa47b410,玉山-台南,Dealer
c9b8ce275c2a34b18e294c1460dec14b,凱基-城中,Dealer
7992d5e5ff9b0d708de3f70077ae7d1b,永豐金-敦北,Dealer
ed15ac245a6a0c2c8a90898c0e0ab945,元大-斗六,Dealer
0bd505fd11e7e45291650866152c9f31,元大證券,Dealer
662cb6e3d517cd4c76415bfbcdf7e75b,元大-北屯,Dealer
29c4f3ae03ff9dfa98b90cc00bcdb182,致和-台北,Dealer
f097fd38402451d728bf5f499b0c0710,兆豐-高雄,Dealer
782a64f45ea71f429ad2bd1791d5182d,元大-中和,Dealer
c8f83921ea9f5b449372211fbb699ee4,土銀-嘉義,Dealer
fb861dfa45ddef1a3c0c9009970fd98b,華南永昌-台中,Dealer
534590f0e4cbb15a3908c549b51a3d98,國票-中和,Dealer
9f4d95bef3a8c85c6f1c862851e9481b,永豐金-桃盛,Dealer
3db6b67b8c57e433fff1e7be2ffc0412,新光-台中,Dealer
f727cf707630a24b34dd8d436c25f90c,第一金-澎湖,Dealer
9704ee057b87c75ffc513e83da33f209,凱基-中壢,Dealer
3a16f8824930c5eca581cab7bfa76b95,群益金鼎-潭子,Dealer
b2d3f2b887e65dfae2e4f1b107d45758,新光-桃園,Dealer
