stock_id:ID,name,code,market,:LABEL
711756,金可國票01購01,711756,上櫃,Stock
711757,精華國票01購01,711757,上櫃,Stock
711758,璟德國票01購01,711758,上櫃,Stock
711759,雙鴻國票02購01,711759,上櫃,Stock
711762,邦特元富03購01,711762,上櫃,Stock
711763,優群富邦01購01,711763,上櫃,Stock
711764,大江凱基02購01,711764,上櫃,Stock
711765,中美晶凱基02購01,711765,上櫃,Stock
711766,精測凱基02購02,711766,上櫃,Stock
711767,晟德凱基02購01,711767,上櫃,Stock
711768,中美晶統一01購01,711768,上櫃,Stock
711769,合晶統一01購01,711769,上櫃,Stock
711770,威剛統一01購01,711770,上櫃,Stock
711771,皇田統一01購01,711771,上櫃,Stock
711772,緯軟統一01購02,711772,上櫃,Stock
711776,M31元大01購02,711776,上櫃,Stock
711778,信驊元大01購01,711778,上櫃,Stock
711782,聯亞元大01購01,711782,上櫃,Stock
711783,譜瑞元大01購01,711783,上櫃,Stock
711786,信驊富邦01購01,711786,上櫃,Stock
711787,久元群益01購01,711787,上櫃,Stock
711788,元太群益01購01,711788,上櫃,Stock
711792,新普群益02購01,711792,上櫃,Stock
711794,環球晶群益01購02,711794,上櫃,Stock
711795,環球晶群益01購03,711795,上櫃,Stock
711799,台燿凱基01購01,711799,上櫃,Stock
711800,邦特凱基01購01,711800,上櫃,Stock
711801,璟德凱基01購01,711801,上櫃,Stock
711803,大江統一01購03,711803,上櫃,Stock
711804,六角統一01購01,711804,上櫃,Stock
711805,台半統一01購01,711805,上櫃,Stock
711806,邦特統一01購02,711806,上櫃,Stock
711807,金可統一01購01,711807,上櫃,Stock
711809,璟德統一01購01,711809,上櫃,Stock
711815,精測國泰01購01,711815,上櫃,Stock
711816,環球晶國泰02購01,711816,上櫃,Stock
711817,力旺群益01購01,711817,上櫃,Stock
711821,茂達群益01購01,711821,上櫃,Stock
711822,緯軟群益01購01,711822,上櫃,Stock
711823,鈺太群益01購01,711823,上櫃,Stock
711824,頎邦群益01購01,711824,上櫃,Stock
711827,太醫元大01購01,711827,上櫃,Stock
711828,原相元大02購01,711828,上櫃,Stock
711829,精測元大01購01,711829,上櫃,Stock
711832,鈊象元大01購01,711832,上櫃,Stock
711833,中美晶國票01購02,711833,上櫃,Stock
711834,胡連國票01購01,711834,上櫃,Stock
711835,智擎國票01購02,711835,上櫃,Stock
711836,環球晶國票01購01,711836,上櫃,Stock
711848,穩懋兆豐01購01,711848,上櫃,Stock
711850,雙鴻統一02購01,711850,上櫃,Stock
711851,大學光凱基02購01,711851,上櫃,Stock
711852,中美晶凱基01購01,711852,上櫃,Stock
711853,金居凱基02購01,711853,上櫃,Stock
711854,信驊凱基01購01,711854,上櫃,Stock
711855,緯軟凱基02購01,711855,上櫃,Stock
711857,環球晶凱基01購01,711857,上櫃,Stock
711858,環球晶凱基01購02,711858,上櫃,Stock
711860,頎邦凱基03購01,711860,上櫃,Stock
711861,力旺國泰02購01,711861,上櫃,Stock
711862,威剛國泰02購01,711862,上櫃,Stock
711863,雍智國泰03購01,711863,上櫃,Stock
711864,中美晶中信06購01,711864,上櫃,Stock
711865,中美晶中信06購02,711865,上櫃,Stock
711866,穩懋中信06購01,711866,上櫃,Stock
711867,穩懋中信06購02,711867,上櫃,Stock
711868,大學光永豐01購01,711868,上櫃,Stock
711869,原相永豐01購01,711869,上櫃,Stock
711874,金居群益02購01,711874,上櫃,Stock
711875,晶焱群益01購01,711875,上櫃,Stock
711877,大江元大01購01,711877,上櫃,Stock
711878,中美晶元大01購01,711878,上櫃,Stock
711885,雙鴻元大01購01,711885,上櫃,Stock
711887,太醫國票01購01,711887,上櫃,Stock
711888,信驊國票01購01,711888,上櫃,Stock
711889,鈊象國票01購02,711889,上櫃,Stock
711890,力旺凱基01購02,711890,上櫃,Stock
711892,元太凱基02購01,711892,上櫃,Stock
711893,合晶凱基01購01,711893,上櫃,Stock
711896,凡甲統一02購01,711896,上櫃,Stock
711898,中美晶統一02購02,711898,上櫃,Stock
711901,茂達統一01購01,711901,上櫃,Stock
711902,緯軟統一02購01,711902,上櫃,Stock
711903,優群統一01購01,711903,上櫃,Stock
711904,環球晶統一01購02,711904,上櫃,Stock
711905,環球晶統一02購01,711905,上櫃,Stock
711906,穩懋統一01購04,711906,上櫃,Stock
711909,鈊象元富06購01,711909,上櫃,Stock
711910,大學光兆豐01購01,711910,上櫃,Stock
711911,原相兆豐01購01,711911,上櫃,Stock
711916,弘塑元大01購01,711916,上櫃,Stock
711919,碩禾元大01購01,711919,上櫃,Stock
711923,雙鴻元大01購02,711923,上櫃,Stock
711924,穩懋元大01購01,711924,上櫃,Stock
711927,譜瑞元大01購02,711927,上櫃,Stock
711932,神盾中信03購01,711932,上櫃,Stock
711935,力旺統一01購01,711935,上櫃,Stock
711936,中美晶統一02購03,711936,上櫃,Stock
711937,六角統一02購02,711937,上櫃,Stock
711938,威剛統一01購02,711938,上櫃,Stock
711941,網家統一02購01,711941,上櫃,Stock
711942,優群統一01購02,711942,上櫃,Stock
711943,頎邦統一01購01,711943,上櫃,Stock
711945,金居凱基01購01,711945,上櫃,Stock
711946,威剛凱基02購01,711946,上櫃,Stock
711947,群聯凱基02購01,711947,上櫃,Stock
711948,精測凱基01購02,711948,上櫃,Stock
711950,新鉅科國泰02購01,711950,上櫃,Stock
711953,精測群益01購04,711953,上櫃,Stock
711954,優群群益01購01,711954,上櫃,Stock
711955,雙鴻群益02購01,711955,上櫃,Stock
711956,信驊富邦01購02,711956,上櫃,Stock
711957,原相富邦03購01,711957,上櫃,Stock
711958,雙鴻富邦01購01,711958,上櫃,Stock
711959,久元國票01購01,711959,上櫃,Stock
711961,威剛國票01購01,711961,上櫃,Stock
711962,網家國票01購02,711962,上櫃,Stock
711963,緯軟國票01購01,711963,上櫃,Stock
711964,穩懋國票01購04,711964,上櫃,Stock
711965,鈺太國票01購01,711965,上櫃,Stock
711967,M31元富03購01,711967,上櫃,Stock
711970,精測元富03購01,711970,上櫃,Stock
711972,雙鴻兆豐01購02,711972,上櫃,Stock
711974,宇峻群益01購01,711974,上櫃,Stock
711977,威剛群益02購01,711977,上櫃,Stock
711978,雙美群益01購01,711978,上櫃,Stock
711984,東洋元大01購01,711984,上櫃,Stock
711985,原相元大02購02,711985,上櫃,Stock
711987,精測元大01購02,711987,上櫃,Stock
711990,雙鴻元大01購03,711990,上櫃,Stock
711991,穩懋元大01購02,711991,上櫃,Stock
711992,譜瑞元大01購03,711992,上櫃,Stock
711993,鈊象元大01購02,711993,上櫃,Stock
712001,弘塑國票01購01,712001,上櫃,Stock
712002,信驊國票01購02,712002,上櫃,Stock
712003,原相國票01購01,712003,上櫃,Stock
712004,優群國票01購01,712004,上櫃,Stock
712005,譜瑞國票01購01,712005,上櫃,Stock
712007,信驊元富03購02,712007,上櫃,Stock
712009,大江兆豐01購01,712009,上櫃,Stock
712010,原相兆豐01購02,712010,上櫃,Stock
712011,博智兆豐01購01,712011,上櫃,Stock
712012,凡甲麥證01購01,712012,上櫃,Stock
712013,力旺統一01購02,712013,上櫃,Stock
712014,元太統一02購01,712014,上櫃,Stock
712015,信驊統一02購02,712015,上櫃,Stock
712016,威剛統一01購03,712016,上櫃,Stock
712017,胡連統一02購01,712017,上櫃,Stock
712018,原相統一02購01,712018,上櫃,Stock
712019,神盾統一01購01,712019,上櫃,Stock
712020,穩懋統一02購02,712020,上櫃,Stock
712021,譜瑞統一02購03,712021,上櫃,Stock
712025,網家凱基02購02,712025,上櫃,Stock
712026,鈊象凱基02購02,712026,上櫃,Stock
712039,太醫凱基02購01,712039,上櫃,Stock
712040,東洋凱基02購01,712040,上櫃,Stock
712045,譜瑞統一02購04,712045,上櫃,Stock
712046,威剛群益01購03,712046,上櫃,Stock
